SKU,ItemDescription,CumulativeUnitsCanada,Province,CustomerNo,CustomerName,SalesRep,Currency,PostingDate,OrderQuantity,AmountExclVAT,AmountInclVAT
10233-O-48-16-021-4K,"Mistura, 16 Light Oval LED Chandelier, Painted Silver, 4000K",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-06-24,1.0,2950.0,3097.5
12034-023-01,"Sorrento, 12 Light Oval LED Chandelier, Mixed, Chrome  Canopy",1,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-03-28,1.0,1295.0,1359.75
12034-023-02,"Sorrento, 12 Light Oval LED Chandelier, Mixed, Black Canopy ",2,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-10-24,1.0,1249.0,1311.45
12034-023-02,"Sorrento, 12 Light Oval LED Chandelier, Mixed, Black Canopy ",2,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-09-19,1.0,1249.0,1311.45
12034-024-01,"Sorrento, 12 Light Oval LED Chandelier, Mixed with Copper Leaf, Chrome  Canopy",1,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-03-13,1.0,1460.0,1533.0
12050-028,"Brindisi, 32 Light Chandelier, Gold ",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-09-10,1.0,5179.0,5437.95
12051-02,"Teramo, 6 Light LED Chandelier, Matte Black ",3,AB,C00472,Vivid Concepts Inc. - Calgary,MR - Luminescence,CAD,2025-08-28,1.0,395.2,414.96
12051-02,"Teramo, 6 Light LED Chandelier, Matte Black ",3,AB,C00474,Vivid Concepts Inc. - Edmonton,MR - Luminescence,CAD,2025-08-29,1.0,395.2,414.96
12051-02,"Teramo, 6 Light LED Chandelier, Matte Black ",3,BC,C00426,Robinson Lighting -Kelowna,MR - Luminescence,CAD,2025-03-21,1.0,345.8,363.09
12052-02,"Teramo, 8 Light LED Chandelier, Matte Black ",2,Alberta,C00303,Dhillon Lighting - Calgary ,MR - Luminescence,CAD,2025-02-18,1.0,475.3,499.06
